,County,FIPS,Met Objective of 45.5? (1),Age-Adjusted Death Rate,Lower 95% Confidence Interval for Death Rate,Upper 95% Confidence Interval for Death Rate,Average Deaths per Year,Recent Trend (2),Recent 5-Year Trend (2) in Death Rates,Lower 95% Confidence Interval for Trend,Upper 95% Confidence Interval for Trend
1480,"Marion County, Alabama",1093,No,51.7,42.4,62.6,23,falling,-5.8,-8.6,-2.9
1498,"Jefferson County, Alabama",1073,No,51.5,49.2,53.9,381,falling,-1,-1.4,-0.7
1540,"Sumter County, Alabama",1119,No,51,37,69.2,9,stable,-0.8,-2.9,1.3
1582,"Madison County, Alabama",1089,No,50.4,47.1,53.8,179,falling,-1.8,-3,-0.5
1610,"Kenai Peninsula Borough, Alaska",2122,No,50.1,41.6,59.7,28,falling,-3,-4.4,-1.6
1629,"Montgomery County, Alabama",1101,No,49.9,45.9,54.2,117,falling,-1.3,-1.9,-0.7
1775,"Baldwin County, Alabama",1003,No,48,44.2,52,121,falling,-1.7,-2.2,-1.2
1830,"Crenshaw County, Alabama",1041,No,47.3,34.1,64.3,9,falling,-2.1,-3.6,-0.6
1831,"Shelby County, Alabama",1117,No,47.3,42.9,52.1,88,stable,-0.9,-1.9,0.1
1832,"Anchorage Borough, Alaska",2020,No,47.3,42.9,52,96,falling,-1.2,-1.8,-0.6
1835,"Pike County, Alabama",1109,No,47.2,37.4,58.8,16,stable,-1.8,-3.8,0.1
2083,"Lowndes County, Alabama",1085,Yes,44,29.5,63.6,6,stable,0.7,-2.2,3.7
2093,"Clarke County, Alabama",1025,Yes,43.9,34.3,55.5,15,falling,-1.2,-2.4,0
2156,"Choctaw County, Alabama",1023,Yes,43,31,58.8,9,stable,-1.6,-3.7,0.4
2282,"Macon County, Alabama",1087,Yes,41.1,30.5,54.5,10,stable,-13.8,-27.2,2.2
2373,"Sitka Borough, Alaska",2220,Yes,39.6,22.7,64,3,**,**,**,**
2597,"Greene County, Alabama",1063,Yes,34.5,21.7,53.3,5,stable,-1,-3.8,1.8
2604,"Juneau Borough, Alaska",2110,Yes,34.4,24,47.6,8,falling,-3.7,-5.5,-1.8
2724,"Bullock County, Alabama",1011,Yes,29.7,17.8,47.1,4,stable,-1.2,-3.8,1.3
2816,"Aleutians East Borough, Alaska<sup>3</sup>",2013,*,*,*,*,*,**,**,**,**
2817,"Aleutians West Census Area, Alaska<sup>3</sup>",2016,*,*,*,*,*,**,**,**,**
2843,"Bristol Bay Borough, Alaska",2060,*,*,*,*,*,**,**,**,**
2888,"Denali, Alaska",2068,*,*,*,*,*,**,**,**,**
2893,"Dillingham Census Area, Alaska<sup>3</sup>",2070,*,*,*,*,*,**,**,**,**
2942,"Haines Borough, Alaska",2100,*,*,*,*,*,**,**,**,**
2993,"Lake and Peninsula Borough, Alaska<sup>3</sup>",2164,*,*,*,*,*,**,**,**,**
3037,"Northwest Arctic Borough, Alaska",2188,*,*,*,*,*,**,**,**,**
3059,"Prince of Wales-Outer Ketchikan, Alaska",2201,*,*,*,*,*,**,**,**,**
3090,"Skagway Hoonah Angoon Census Area, Alaska<sup>3</sup>",2232,*,*,*,*,*,**,**,**,**
3092,"Southeast Fairbanks Census Area, Alaska",2240,*,*,*,*,*,**,**,**,**
3122,"Wade Hampton Census Area, Alaska",2270,*,*,*,*,*,**,**,**,**
3136,"Yakutat City and Borough, Alaska<sup>3</sup>",2282,*,*,*,*,*,**,**,**,**
3137,"Yukon-Koyukuk Census Area, Alaska",2290,*,*,*,*,*,**,**,**,**
